,TA,WOM_BTW_0_,WOM_BTW_5_,WOM_BTW_10,WOM_BTW_15,WOM_BTW_20,WOM_BTW_25,WOM_BTW_30,WOM_BTW_35,WOM_BTW_40,WOM_BTW_45,WOM_BTW_50,WOM_BTW_55,WOM_BTW_60,WOM_BTW_65,WOM_BTW_70,zone97,SocialClass
121,9465,326,365,427,497,679,806,1071,876,683,762,804,737,626,472,334,122,B
131,7341,258,284,313,365,425,610,882,742,530,549,557,544,536,413,333,132,B
132,340,16,7,10,16,16,29,40,31,19,19,26,29,42,17,23,133,B
138,8235,253,305,368,494,518,604,813,780,664,679,741,677,550,464,325,139,B
141,3889,169,142,146,184,227,383,536,419,260,290,305,317,232,165,114,142,B
234,3549,76,81,144,175,191,329,413,285,213,205,323,409,374,220,111,235,A
238,4435,82,108,157,283,291,302,398,332,264,263,298,473,472,427,285,239,A
248,8695,331,339,386,454,569,872,1063,864,685,675,692,691,546,331,197,249,A
250,6705,260,258,290,326,419,575,837,709,480,500,541,532,458,307,213,251,B
252,13709,484,500,575,669,963,1393,1620,1307,985,1070,1172,1123,908,616,324,253,B
253,5964,188,221,276,392,391,525,619,518,433,463,520,456,477,320,165,254,A
262,3683,137,155,136,178,267,347,371,358,282,261,244,324,272,202,149,263,B
264,8149,246,242,299,372,531,656,830,723,556,593,648,774,734,531,414,265,B
265,3285,104,106,104,137,181,314,374,298,192,215,240,293,274,290,163,266,B
266,11631,481,413,431,547,791,1047,1348,1136,791,801,922,888,909,666,460,267,B
267,6025,273,233,278,360,408,541,684,594,448,479,471,415,383,263,195,268,B
268,6509,245,293,277,369,434,579,719,587,488,517,565,540,431,282,183,269,A
269,8389,316,345,326,489,622,714,898,775,603,653,750,663,479,404,352,270,B
270,8552,229,241,341,408,577,760,871,769,593,638,692,782,733,526,392,271,B
275,3158,106,92,128,149,176,266,350,289,181,230,236,299,306,202,148,276,B
276,9063,406,402,406,469,593,836,1074,912,669,683,711,658,535,419,290,277,B
277,6655,268,269,288,386,431,625,728,715,544,499,527,497,403,293,182,278,B
278,12578,540,505,568,715,846,1122,1362,1172,910,972,1047,1004,742,605,468,279,B
279,8849,306,332,383,510,543,855,1040,796,642,695,790,705,505,431,316,280,B
280,14652,609,586,701,910,1071,1281,1446,1285,1070,1201,1263,1127,861,690,551,281,B
284,2987,104,93,108,152,173,249,319,292,186,222,242,256,223,225,143,285,B
285,4939,158,163,182,223,307,380,525,441,349,370,428,412,400,348,253,286,B
286,2716,120,96,94,129,180,235,308,279,183,229,199,222,224,139,79,287,B
291,3648,120,181,173,188,275,305,366,347,288,301,289,285,221,161,148,292,B
292,3131,133,131,142,191,239,296,304,286,253,266,264,210,183,142,91,293,A
294,9627,395,423,450,545,690,784,1061,956,764,824,777,754,521,421,262,295,B
302,3938,161,137,184,206,255,357,402,360,279,336,372,291,231,205,162,303,B
304,2613,90,85,91,138,168,248,295,233,170,211,218,227,188,129,122,305,B
513,2157,107,100,116,125,169,157,235,193,179,185,191,139,113,97,51,514,B
531,8529,317,332,338,453,557,875,991,754,594,651,729,624,545,465,304,532,B
532,1804,75,87,54,82,110,171,191,136,93,148,163,165,144,95,90,533,B
533,9863,316,322,359,446,619,834,1087,851,705,667,881,912,820,637,407,534,B
534,14878,535,610,632,797,1035,1430,1590,1346,1026,1108,1233,1218,1054,747,517,535,B
535,6867,256,319,311,359,453,635,729,614,469,512,485,571,538,372,244,536,A
536,1461,35,39,53,84,98,126,175,119,119,106,119,128,117,88,55,537,B
537,9522,319,370,332,457,622,889,1017,849,660,685,782,848,712,564,416,538,B
538,7345,278,232,287,346,509,617,847,686,506,533,577,605,578,453,291,539,B
539,11817,447,436,480,657,822,1102,1320,1081,855,875,1001,924,751,621,445,540,B
540,6462,245,274,261,328,369,519,754,624,448,474,533,506,449,389,289,541,B
541,14734,544,566,587,738,920,1325,1764,1385,1010,1040,1227,1161,1098,835,534,542,B
542,1516,66,37,37,62,88,150,181,133,98,105,122,152,131,100,54,543,B
543,2356,70,75,61,92,151,209,279,211,155,166,219,226,205,154,83,544,B
544,4347,190,157,166,222,291,411,462,347,312,305,355,390,314,240,185,545,B
546,7998,245,260,317,383,456,791,927,764,493,587,623,757,682,447,266,547,B
548,3691,146,146,149,170,243,351,431,316,231,310,298,299,229,222,150,549,B
549,3611,142,130,158,177,247,352,355,359,282,275,310,274,257,158,135,550,A
550,6461,231,256,313,316,483,560,631,562,440,495,520,516,453,365,320,551,B
552,8346,295,254,259,341,479,801,1063,850,445,541,779,943,743,360,193,553,B
