,SOURCE_ID,TAZ_zone97,COType,TAA_csv_TA
0,8.0,501,HL,6025.0
1,25.0,490,HH,9575.0
2,48.0,552,HH,7535.0
3,49.0,551,HH,6461.0
4,50.0,280,HH,8849.0
5,51.0,279,HH,12578.0
6,62.0,403,HH,11617.0
7,66.0,395,HH,8130.0
8,67.0,386,HH,6688.0
9,68.0,385,HH,5999.0
10,71.0,379,HH,4566.0
11,72.0,378,HH,6502.0
12,73.0,377,HH,5987.0
13,75.0,375,HH,6887.0
14,76.0,374,HH,10876.0
15,78.0,369,HH,6169.0
16,79.0,368,HH,5785.0
17,80.0,367,HH,3945.0
18,81.0,366,HH,4092.0
19,82.0,365,HH,7687.0
20,83.0,361,HH,3901.0
21,85.0,355,HH,7150.0
22,86.0,354,HH,9788.0
23,87.0,353,HH,6142.0
24,88.0,349,HH,12780.0
25,89.0,348,HH,9201.0
26,91.0,346,HH,8427.0
27,92.0,345,HH,12800.0
28,93.0,344,HH,10885.0
29,94.0,343,HH,6831.0
30,97.0,336,HH,9361.0
31,98.0,186,HH,6287.0
32,99.0,185,HH,5370.0
33,100.0,182,HH,5137.0
34,103.0,356,HH,4376.0
35,104.0,352,HH,5362.0
36,105.0,350,HH,7728.0
37,106.0,342,HH,8224.0
38,107.0,341,HH,10925.0
39,108.0,340,HH,8742.0
40,109.0,328,HH,3579.0
41,110.0,322,HH,4821.0
42,111.0,321,HH,10201.0
43,112.0,320,HH,9020.0
44,113.0,317,HH,6203.0
45,122.0,302,HH,4140.0
46,123.0,301,HH,8167.0
47,130.0,290,HH,6712.0
48,131.0,370,HH,10997.0
49,137.0,542,HH,14734.0
50,138.0,541,HH,6462.0
51,139.0,540,HH,11817.0
52,140.0,539,HH,7345.0
53,141.0,538,HH,9522.0
54,142.0,536,HH,6867.0
55,144.0,534,HH,9863.0
56,146.0,532,HH,8529.0
57,147.0,278,HH,6655.0
58,160.0,184,HH,11835.0
59,184.0,157,HL,9589.0
60,203.0,130,HL,3878.0
61,216.0,117,HL,3587.0
62,232.0,42,HL,8259.0
63,233.0,41,HL,11872.0
64,235.0,39,HL,4360.0
65,262.0,292,HH,3648.0
66,267.0,281,HH,14652.0
67,268.0,270,HH,8389.0
68,269.0,269,HH,6509.0
69,272.0,526,HH,12730.0
70,273.0,525,HH,12616.0
71,274.0,518,HH,15256.0
72,298.0,234,HH,15059.0
73,299.0,232,HH,8916.0
74,301.0,229,HH,5573.0
75,334.0,516,HH,10583.0
76,335.0,513,HH,14950.0
77,338.0,504,HH,9624.0
78,342.0,566,HH,6426.0
79,346.0,574,HH,6516.0
80,355.0,580,HH,7604.0
81,362.0,503,HH,14493.0
82,366.0,523,HH,10776.0
83,367.0,602,HH,16321.0
84,369.0,606,HH,13149.0
85,370.0,607,HH,10543.0
86,371.0,527,HH,4828.0
87,372.0,608,HH,5650.0
88,376.0,549,HH,3691.0
89,389.0,277,HH,9063.0
90,394.0,268,HH,6025.0
91,400.0,351,HH,6896.0
92,401.0,339,HH,8317.0
93,403.0,357,HH,8078.0
94,404.0,183,HH,6627.0
95,406.0,511,HH,6865.0
96,407.0,665,HH,9670.0
97,410.0,597,HH,7735.0
98,411.0,507,HH,10706.0
99,412.0,502,HH,11004.0
100,413.0,599,HH,12261.0
101,414.0,505,HH,8756.0
102,415.0,666,HH,6528.0
103,416.0,517,HH,9149.0
104,418.0,521,HH,11817.0
105,419.0,522,HH,8691.0
106,420.0,515,HH,13247.0
107,421.0,603,HH,9736.0
108,422.0,670,HH,7748.0
109,425.0,300,HH,12670.0
110,426.0,318,HH,12999.0
111,431.0,639,HH,9267.0
112,432.0,313,HH,6755.0
113,438.0,289,HH,8668.0
114,440.0,636,HH,5250.0
115,441.0,632,HH,8097.0
116,442.0,267,HH,11631.0
117,450.0,233,HH,6301.0
118,451.0,575,HH,13235.0
119,452.0,631,HH,8967.0
120,455.0,248,HH,4445.0
121,461.0,553,HH,8346.0
122,462.0,615,HH,8785.0
123,470.0,246,HH,3947.0
124,472.0,231,HH,6725.0
125,513.0,427,HH,17694.0
126,514.0,426,HH,17198.0
127,517.0,419,HH,8792.0
128,523.0,405,HH,13320.0
129,526.0,387,HH,11220.0
130,529.0,381,HH,4162.0
131,578.0,54,HL,8097.0
132,580.0,48,HL,6552.0
133,588.0,21,HL,9419.0
134,611.0,221,HL,8143.0
135,632.0,77,HL,10936.0
136,650.0,217,HL,7067.0
137,652.0,568,HL,4921.0
138,661.0,461,HL,11970.0
